District Number,Not Economically Disadvantaged Percent
224902,39.22
229903,34.41
81905,48.54
43914,74.2
221912,82.22
250905,-9999999
101845,13.27
62903,25.64
62904,35.53
71905,21.15
253901,16.23
3906,39.38
25906,34.55
101850,4.05
