Year,NCES ID,State ID (CDN),District Name,County,Reported Enrollment,Average Daily Attendance (ADA),Total Revenue,Local Tax Revenue,Other Local & Intermediate ,State Revenue,Federal Revenue,Local Tax Revenue (%),Other Local & Intermediate (%),State Revenue (%),Federal Revenue (%),Total Operating Expenditures (TOP),Payroll,Other Operating,Debt Service,Capital Outlay,TOP - Instruction ,TOP - Instructional Res Media,TOP - Curriculum/Staff Develop,Instructional Leadership,School Leadership,Guidance Counseling Svcs,Social Work Services,Health Services,Transportation,Food,Extracurricular,General Administration,Plant Maint/Operation,Security/Monitoring,Data Processing Services,Community Services,Total Disbursments,Total Expenditures,Recapture,Total Other Uses,Intergovernmental Charge,Program Operating Expenditures,Regular,Gifted & Talented,Career and Technical,Students with Disabilities,Accelerated Education,Bilingual,Nondisc Alt Ed-AEP Basic Serv,Disc Alt Ed-AEP Basic Serv,Disc Alt Ed-AEP Supplemental Serv,T1 A Schoolwide- St Comp >=40%,Athletics/Related Activities,High School Allotment,Prekindergarten,Total Tax Rate,M&O Rates,I&S Rates,Property Value,Property Value Per Pupil,Prop Val: Business,Prop Val: Residential,Prop Val: Land,Prop Val: Oil and Gas,Prop Val: Other,Wealth Per ADA,Recapture*,ASATAR*,Surplus,Deficit,Year Fixed
2012,4813710,007901,Charlotte ISD,Atascosa,522,484.137,"$6,254,096","$1,639,668","$185,488","$3,210,000","$1,218,940",26.22,2.97,51.33,19.49,"$4,770,121","$3,537,715","$1,233,214","$399,039","$948,253","$2,532,777","$64,549","$13,188","$16,221","$313,602","$120,728","$1,226","$27,894","$107,600","$325,289","$174,580","$430,342","$554,991",$0,"$87,134",$808,"$6,201,971","$6,118,221",$0,$0,"$83,750","$3,226,984","$1,600,675","$11,279","$199,933","$396,537","$413,876","$40,759",$0,$0,$0,"$348,764","$144,211","$27,646","$43,304",1.2400,1.0400,0.2000,"$105,815,507","$202,712","$13,975,880","$27,261,668","$43,494,572","$35,643,420","$1,876,000","$257,842",$0,"$8,323","$2,711,630",$0,2012
2012,4824960,007902,Jourdanton ISD,Atascosa,"1,425","1,360.823","$13,520,477","$5,489,291","$943,735","$5,901,405","$1,186,046",40.6,6.98,43.65,8.77,"$11,484,924","$9,481,506","$2,018,016","$397,775","$3,942,834","$6,600,871","$98,267","$35,230","$95,612","$829,598","$318,523",$0,"$94,998","$424,523","$775,027","$555,583","$434,556","$1,045,178","$13,755","$163,203","$14,598","$16,522,748","$15,840,131",$0,$0,"$682,617","$8,635,002","$5,278,332","$50,724","$581,613","$1,182,260","$287,340","$23,815",$0,"$90,065",$0,"$600,244","$369,785","$108,802","$62,022",1.1700,1.1700,0.0000,"$454,208,883","$318,743","$277,921,660","$95,906,811","$95,375,805","$57,850,730","$5,891,120","$362,089",$0,"$420,128","$7,649,607",$0,2012
2012,4828650,007904,Lytle ISD,Atascosa,"1,713","1,592.793","$17,656,186","$2,943,484","$541,384","$11,597,538","$2,573,780",16.67,3.07,65.69,14.58,"$14,562,688","$11,714,366","$2,944,231","$1,714,357","$8,406,731","$7,451,620","$160,552","$940,972","$210,994","$757,056","$505,239","$4,977","$124,212","$363,206","$970,400","$605,372","$686,388","$1,562,628","$26,271","$192,801","$7,346","$25,032,543","$24,779,685",$0,$0,"$252,858","$10,850,258","$5,711,043","$35,512","$507,724","$1,332,101","$1,287,877","$46,353",$0,"$172,437",$0,"$732,790","$486,652","$153,128","$384,641",1.3400,1.1700,0.1700,"$213,517,471","$124,645","$43,246,325","$157,879,620","$53,782,907","$2,064,330","$5,643,110","$135,449",$0,$0,"$7,839,520",$0,2012
2012,4835190,007905,Pleasanton ISD,Atascosa,"3,432","3,186.770","$35,630,983","$9,471,329","$2,338,084","$16,385,862","$7,435,708",26.58,6.56,45.99,20.87,"$31,692,279","$23,339,444","$8,716,610","$1,531,619","$361,230","$15,628,040","$389,949","$804,025","$802,684","$1,516,865","$1,962,033","$86,186","$165,483","$978,775","$1,990,529","$1,116,930","$1,306,418","$4,469,880","$159,122","$315,360","$363,775","$34,713,479","$33,948,903",$0,$0,"$764,576","$21,094,997","$11,005,443","$143,665","$747,578","$4,967,771","$200,094","$61,359",$0,"$223,746",$0,"$2,445,107","$418,104","$306,014","$576,116",1.1400,1.0400,0.1000,"$686,043,248","$199,896","$190,189,041","$407,296,953","$174,032,174","$35,883,580","$14,878,530","$234,497",$0,$0,"$9,895,036",$0,2012
2012,4835520,007906,Poteet ISD,Atascosa,"1,765","1,624.156","$19,085,993","$2,374,875","$381,964","$10,942,684","$5,386,470",12.44,2,57.33,28.22,"$16,289,429","$11,702,492","$4,719,922","$815,816","$1,069,364","$8,683,811","$158,482","$521,646","$669,885","$833,779","$349,333","$59,698","$109,349","$383,920","$1,044,402","$719,816","$710,397","$1,718,694","$13,802","$312,415","$132,985","$18,549,952","$18,307,594",$0,$0,"$242,358","$12,172,025","$5,622,400","$40,302","$536,548","$919,602","$2,631,672","$33,460",$0,$0,"$34,368","$1,512,270","$530,224","$109,689","$201,490",1.1690,1.0400,0.1290,"$178,093,761","$100,903","$23,736,170","$115,202,770","$88,980,948","$561,770","$7,505,070","$119,344",$0,$0,"$28,572,596",$0,2012
2012,4809810,008901,Bellville ISD,Austin,"2,136","2,025.337","$21,481,314","$12,656,581","$1,656,096","$5,713,348","$1,455,289",58.92,7.71,26.6,6.77,"$17,463,203","$14,085,167","$3,378,515","$2,054,773","$348,512","$9,896,464","$313,851","$42,385","$320,596","$950,910","$665,817",$0,"$192,848","$637,997","$1,072,544","$707,793","$672,554","$1,877,519","$25,299","$86,626",$479,"$20,042,751","$19,866,967",$0,$0,"$175,784","$12,894,781","$7,980,311","$130,310","$811,476","$1,896,729","$585,025","$167,726",$0,"$133,548",$0,"$298,872","$550,301","$242,843","$97,640",1.2600,1.0400,0.2200,"$968,000,229","$453,184","$165,011,633","$396,232,756","$472,595,616","$69,963,700","$16,813,295","$491,243",$0,"$583,609","$8,838,133",$0,2012
2012,4839630,008902,Sealy ISD,Austin,"2,669","2,498.331","$26,592,414","$12,832,942","$1,135,783","$9,867,537","$2,756,152",48.26,4.27,37.11,10.36,"$22,651,004","$16,547,083","$6,115,524","$2,635,839","$322,000","$12,567,146","$278,837","$258,835","$395,408","$1,373,545","$714,448",$204,"$134,085","$615,384","$1,368,120","$1,275,540","$838,173","$2,439,511","$159,091","$232,677","$11,603","$30,187,976","$25,620,446",$0,"$4,567,530",$0,"$16,494,055","$9,887,436","$102,448","$693,947","$2,973,036","$424,987","$130,336","$78,295","$141,521",$0,"$880,449","$686,750","$276,206","$218,644",1.2600,1.0400,0.2200,"$1,074,994,591","$402,771","$490,125,923","$435,179,263","$191,642,283","$60,349,640","$17,556,490","$400,516",$0,"$2,587,724","$7,435,770",$0,2012
2012,4844470,008903,Brazos ISD,Austin,856,795.286,"$9,356,364","$4,165,203","$276,686","$4,014,077","$900,398",44.52,2.96,42.9,9.62,"$7,869,789","$6,138,935","$1,730,854","$1,189,244","$187,549","$4,156,751","$75,843",$497,"$71,498","$501,504","$354,001",$0,"$55,647","$364,332","$486,549","$402,768","$469,971","$930,428",$0,$0,$0,"$15,495,222","$9,246,582",$0,"$6,214,575","$34,065","$5,585,791","$3,294,273","$31,908","$376,024","$647,729","$448,428","$40,433",$0,$0,$0,"$287,897","$326,255","$102,541","$30,303",1.4329,1.0400,0.3929,"$326,473,639","$381,394","$65,495,653","$105,483,575","$71,462,760","$113,596,900","$5,782,068","$369,275",$0,"$612,119","$2,385,921",$0,2012
2012,4831890,009901,Muleshoe ISD,Bailey,"1,520","1,406.628","$16,638,634","$3,667,423","$428,750","$9,293,104","$3,249,357",22.04,2.58,55.85,19.53,"$13,368,931","$9,807,745","$3,589,878","$1,514,786","$744,839","$7,651,996","$168,521","$135,805","$327,173","$841,347","$226,391","$50,260","$163,971","$448,464","$918,981","$602,842","$553,607","$1,239,375","$7,654","$32,544","$15,961","$15,913,722","$15,657,248",$0,$0,"$256,474","$10,009,932","$4,831,267","$38,704","$432,033","$1,342,399","$700,772","$249,212","$112,037","$53,560",$0,"$1,527,507","$457,129","$88,963","$176,349",1.3600,1.0400,0.3200,"$256,603,730","$168,818","$128,396,794","$86,301,485","$73,580,212",$0,"$2,000,267","$185,456",$0,"$123,215","$9,968,565",$0,2012
2012,4830030,010901,Medina ISD,Bandera,288,273.498,"$3,870,540","$2,150,165","$105,188","$1,298,160","$317,027",55.55,2.72,33.54,8.19,"$3,917,673","$3,127,016","$790,657",$0,$0,"$2,066,197","$59,355","$4,968",$0,"$238,559","$89,313",$0,"$30,099","$176,529","$169,546","$238,441","$313,842","$471,001",$0,"$59,823",$0,"$3,917,673","$3,917,673",$0,$0,$0,"$2,543,767","$1,252,984","$58,146","$173,365","$470,729","$406,901","$47,621",$0,$0,$0,$0,"$122,004",$0,"$12,017",1.0400,1.0400,0.0000,"$193,200,626","$670,836","$12,926,172","$44,920,180","$160,426,120","$737,260","$2,299,048","$709,219",$0,"$131,792","$2,406,259",$0,2012
